Pop,Year,Spawners,nFish,p3M,p4M,p5M,p6M,p7M,p3F,p4F,p5F,p6F,p7F,p8F,A3F R BY,A4F R BY,A5F R BY,A6F R BY,A7F R BY,A3 R BY,A4 R BY,A5 R BY,A6 R BY,A7 R BY,p6 BY,Return,R.S,,,,,,
FY,1997,304732,3418,0.00,0.08,0.10,0.51,0.01,0.00,0.00,0.02,0.27,0.01,0.00,,0.00,13766.04,88951.16,4371.53,,2742.53,95743.60,187613.15,4371.53,0.83,"290,471",0.95,,,,,,
FY,1998,129642,604,0.00,0.02,0.36,0.23,0.04,0.00,0.00,0.13,0.18,0.04,0.00,,309.35,5826.50,98723.77,3018.14,,17323.56,96719.82,190283.08,3018.14,0.92,"307,345",2.37,,,,,,
FY,1999,199928,697,0.00,0.01,0.10,0.42,0.01,0.00,0.00,0.02,0.43,0.01,0.00,,0.00,11414.56,61704.27,2421.91,,2330.60,64115.80,149230.43,2421.91,0.82,"218,099",1.09,,,,,,
FY,2000,88046,938,0.00,0.00,0.16,0.43,0.04,0.00,0.00,0.03,0.29,0.04,0.00,,242.86,30013.76,52142.26,915.81,,24650.58,132630.64,97446.20,915.81,0.63,"255,643",2.90,,,,,,
FY,2001,222309,703,0.00,0.01,0.17,0.44,0.05,0.00,0.00,0.01,0.28,0.04,0.00,,0.00,24219.08,60626.67,3635.58,,6036.29,130498.12,141034.86,3635.58,0.69,"281,205",1.26,,,,,,
FY,2002,167814,2425,0.00,0.05,0.22,0.34,0.06,0.00,0.00,0.04,0.25,0.06,0.00,,0.00,6685.42,48509.00,1407.29,,6838.33,38738.79,99199.35,1407.29,0.86,"146,184",0.87,,,,,,
FY,2003,272475,769,0.00,0.01,0.30,0.33,0.02,0.00,0.00,0.02,0.30,0.02,0.00,,183.16,14334.57,60735.74,2106.50,,11172.89,125063.89,123989.78,2106.50,0.79,"262,333",0.96,,,,,,
FY,2004,194584,4770,0.00,0.08,0.18,0.32,0.02,0.00,0.00,0.04,0.34,0.02,0.00,,0.00,1851.70,31129.33,2302.47,,3531.70,23923.95,55783.14,2302.47,0.88,"85,541",0.44,,,,,,
FY,2005,189495,1755,0.00,0.02,0.35,0.30,0.01,0.00,0.00,0.10,0.21,0.01,0.00,,0.00,27540.49,39448.92,1370.26,,8591.88,123347.06,75213.90,1370.26,0.58,"208,523",1.10,,,,,,
FY,2006,191292,1681,0.00,0.03,0.44,0.19,0.01,0.00,0.00,0.10,0.22,0.01,0.00,,0.00,6830.65,40226.86,2794.86,,11390.68,53033.48,65087.25,2794.86,0.81,"132,306",0.69,,,,,,
FY,2007,147546,2103,0.00,0.06,0.17,0.42,0.00,0.00,0.00,0.03,0.31,0.00,0.00,,0.00,7830.05,69638.62,3167.52,,2609.46,39345.98,122740.97,3167.52,0.86,"167,864",1.14,,,,,,
FY,2008,136186,2248,0.00,0.02,0.47,0.22,0.01,0.00,0.00,0.06,0.21,0.02,0.00,,0.00,8850.39,49816.52,18649.96,,1957.51,46115.20,93585.94,18649.96,0.64,"160,309",1.18,,,,,,
FY,2009,197730,2148,0.00,0.05,0.14,0.40,0.01,0.00,0.00,0.01,0.38,0.01,0.00,,0.00,19581.06,49694.98,,,4658.10,123821.40,73911.23,,,,,,,,,,
FY,2010,101694,2503,0.00,0.06,0.49,0.13,0.01,0.00,0.00,0.14,0.16,0.01,0.00,,0.00,25765.64,,,,2303.65,84068.29,,,,,,,,,,,
FY,2011,154366,1784,0.00,0.02,0.34,0.26,0.03,0.00,0.00,0.05,0.29,0.02,0.00,,401.69,,,,,8091.21,,,,,,,,,,,,
FY,2012,103996,1109,0.00,0.02,0.29,0.23,0.01,0.00,0.00,0.07,0.37,0.01,0.00,,,,,,,,,,,,,,,,,,,
FY,2013,93580,769,0.00,0.03,0.21,0.30,0.01,0.00,0.00,0.05,0.39,0.02,0.00,,,,,,,,,,,,,,,,,,,
FY,2014,175728,1572,0.00,0.01,0.46,0.19,0.01,0.00,0.00,0.09,0.22,0.01,0.00,,,,,,,,,,,,,,,,,,,
FY,2015,216641,3277,0.00,0.04,0.31,0.13,0.01,0.00,0.00,0.14,0.26,0.10,0.00,,,,,,,,,,,,,,,,,,,
FY,2016,163306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY,2017,204406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY,2018,145379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY,2019,146132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY,1980,,116,0.00,0.28,0.48,0.07,0.00,0.00,0.00,0.11,0.04,0.02,0.00,,,,,,,,,,,,,,,,,,,
AY,1981,,438,0.00,0.19,0.32,0.19,0.00,0.00,0.03,0.05,0.21,0.00,0.00,,,,,,,,,,,,,,,,,,,
AY,1982,,601,0.02,0.34,0.50,0.04,0.01,0.00,0.02,0.01,0.04,0.01,0.00,,,,,,,,,,,,,,,,,,,
AY,1983,,325,0.00,0.20,0.41,0.25,0.00,0.00,0.00,0.01,0.14,0.00,0.00,,,,,,,,,,,,,,,,,,,
AY,1984,,781,0.00,0.14,0.54,0.16,0.01,0.00,0.00,0.02,0.13,0.01,0.00,,,,,,,,,,,,,,,,,,,
AY,1985,,739,0.00,0.47,0.15,0.17,0.01,0.00,0.00,0.00,0.18,0.02,0.00,,,,,,,,,,,,,,,,,,,
AY,1986,,486,0.00,0.02,0.69,0.14,0.02,0.00,0.00,0.05,0.05,0.03,0.00,,,,,,,,,,,,,,,,,,,
AY,1987,,551,0.00,0.07,0.11,0.42,0.00,0.00,0.00,0.01,0.37,0.01,0.00,,,,,246.95,,,,,246.95,,,,,,,,,
AY,1988,,650,0.00,0.34,0.30,0.09,0.02,0.00,0.00,0.03,0.12,0.09,0.00,,,,1364.71,67.32,,,,2638.44,94.25,,,,,,,,,
AY,1989,,424,0.00,0.06,0.69,0.16,0.01,0.00,0.00,0.04,0.04,0.00,0.00,,,402.91,1656.14,92.53,,,5601.81,2867.95,143.00,0.77,,,,,,,,
AY,1990,,924,0.00,0.37,0.22,0.14,0.00,0.00,0.00,0.06,0.19,0.01,0.00,,0.00,188.50,252.35,0.00,,909.81,1131.02,555.18,0.00,0.57,"2,596",,,,,,,
AY,1991,,718,0.00,0.09,0.58,0.14,0.01,0.00,0.00,0.06,0.11,0.01,0.00,,107.72,799.12,634.99,33.42,,3123.78,3995.59,1012.21,33.42,0.40,"8,165",,,,,,,
AY,1992,,93,0.00,0.26,0.52,0.11,0.00,0.00,0.00,0.01,0.09,0.02,0.00,,75.71,100.59,217.23,8.08,,378.53,691.57,534.73,24.25,0.54,"1,629",,,,,,,
AY,1993,,668,0.00,0.19,0.38,0.21,0.01,0.00,0.00,0.01,0.19,0.01,0.00,,213.76,609.93,606.25,0.00,,2502.22,3801.59,1269.08,8.57,0.42,"7,581",,,,,,,
AY,1994,7956,723,0.00,0.10,0.55,0.14,0.00,0.00,0.00,0.04,0.15,0.03,0.00,,41.78,137.42,222.74,30.58,,994.26,1705.58,633.95,61.16,0.51,"3,395",0.43,,,,,,
AY,1995,5844,536,0.00,0.42,0.13,0.17,0.00,0.00,0.01,0.03,0.23,0.01,0.00,,72.75,149.92,1116.17,29.78,,1931.92,1306.46,1452.54,41.69,0.82,"4,733",0.81,,,,,,
AY,1996,2982,612,0.01,0.06,0.62,0.06,0.01,0.00,0.01,0.16,0.05,0.02,0.00,,47.12,61.16,315.62,34.17,,227.02,519.86,720.57,34.17,0.69,"1,502",0.50,,,,,,
AY,1997,3188,669,0.00,0.54,0.14,0.09,0.00,0.00,0.05,0.02,0.15,0.00,0.00,,0.00,196.52,802.94,34.70,,550.44,2304.63,1167.39,34.70,0.78,"4,057",1.27,,,,,,
AY,1998,4143,642,0.00,0.18,0.60,0.06,0.00,0.00,0.01,0.11,0.04,0.01,0.00,,5.96,512.51,1052.52,4.78,,1578.11,2528.39,1353.24,4.78,0.67,"5,465",1.32,,,,,,
AY,1999,3459,612,0.00,0.38,0.32,0.13,0.00,0.00,0.01,0.03,0.12,0.00,0.00,,96.81,508.91,267.44,0.00,,871.27,4163.81,506.22,0.00,0.31,"5,541",1.60,,,,,,
AY,2000,1824,508,0.00,0.08,0.53,0.19,0.00,0.00,0.02,0.07,0.10,0.00,0.00,,451.08,596.96,1192.21,17.99,,4152.25,1771.78,1927.83,41.99,0.53,"7,894",4.33,,,,,,
AY,2001,2381,169,0.00,0.21,0.18,0.13,0.01,0.00,0.00,0.02,0.43,0.01,0.00,,57.31,1154.16,797.73,41.65,,506.22,5238.12,1565.47,65.45,0.39,"7,375",3.10,,,,,,
AY,2002,4124,780,0.00,0.34,0.45,0.09,0.00,0.00,0.00,0.04,0.07,0.01,0.00,,164.88,281.90,499.78,12.65,,1839.05,1673.43,797.27,17.24,0.52,"4,327",1.05,,,,,,
AY,2003,4342,812,0.00,0.17,0.44,0.08,0.00,0.00,0.02,0.11,0.17,0.01,0.00,,575.80,535.48,1123.18,35.73,,2591.12,3474.68,1994.59,35.73,0.49,"8,096",1.86,,,,,,
AY,2004,8377,839,0.00,0.38,0.38,0.03,0.00,0.00,0.05,0.05,0.11,0.00,0.00,,11.90,64.38,230.28,5.71,,166.59,767.94,301.75,5.71,0.74,"1,242",0.15,,,,,,
AY,2005,2382,584,0.00,0.16,0.42,0.09,0.00,0.00,0.02,0.21,0.10,0.00,0.00,,12.65,694.81,336.69,4.63,,1272.63,1719.16,564.95,4.63,0.32,"3,561",1.50,,,,,,
AY,2006,7813,710,0.00,0.19,0.45,0.08,0.00,0.00,0.02,0.13,0.13,0.00,0.00,,246.16,251.09,434.76,,,1675.48,2316.86,777.02,,0.47,"4,769",0.61,,,,,,
AY,2007,5306,979,0.00,0.34,0.24,0.13,0.00,0.00,0.10,0.05,0.14,0.00,0.00,,22.83,272.88,,,,2693.49,3121.96,,,,,,,,,,,
AY,2008,4270,757,0.00,0.03,0.65,0.07,0.01,0.00,0.00,0.12,0.11,0.01,0.00,,13.88,,,,,642.89,,,,,,,,,,,,
AY,2009,3992,3529,0.00,0.31,0.17,0.21,0.00,0.00,0.00,0.02,0.28,0.00,0.00,,,,,,,,,,,,,,,,,,,
AY,2010,3237,944,0.00,0.38,0.27,0.02,0.00,0.00,0.07,0.19,0.06,0.01,0.00,,,,,,,,,,,,,,,,,,,
AY,2011,5271,978,0.00,0.48,0.37,0.04,0.00,0.00,0.00,0.04,0.06,0.00,0.00,,,,,,,,,,,,,,,,,,,
AY,2012,4359,987,0.00,0.14,0.62,0.07,0.00,0.00,0.00,0.06,0.10,0.00,0.00,,,,,,,,,,,,,,,,,,,
AY,2013,,1286,0.00,0.06,0.40,0.13,0.00,0.00,0.08,0.27,0.05,0.00,0.00,,,,,,,,,,,,,,,,,,,
AY,2014,,2572,0.00,0.16,0.23,0.15,0.00,0.00,0.14,0.23,0.08,0.00,0.00,,,,,,,,,,,,,,,,,,,
AY,2015,,3277,0.00,0.04,0.31,0.13,0.01,0.00,0.14,0.26,0.10,0.00,0.00,,,,,,,,,,,,,,,,,,,
KE,1979,,,,,,,,,,,,,,,,,,4471.63,,,,,8943.26,,,,,,,,,
KE,1980,,,,,,,,,,,,,,,,,17886.52,1087.08,,,,26829.78,9376.10,,,,,,,,,
KE,1981,,,,,,,,,,,,,,,,15650.70,21334.02,1839.84,,,20122.33,50277.62,7018.66,,,,,,,,,
KE,1982,,,,,,,,,,,,,,,0.00,2989.48,18534.71,729.02,,4471.63,13045.00,47699.61,2916.09,0.83,"68,132",,,,,,,
KE,1983,,,,,,,,,,,,,,,0.00,2861.98,8930.52,763.99,0.00,1766.51,11720.48,24118.47,1782.65,0.71,"39,388",,,,,,,
KE,1984,,,,,,,,,,,,,,,0.00,3462.85,10059.23,575.36,0.00,3952.25,11239.09,19991.13,2054.86,0.71,"37,237",,,,,,,
KE,1985,,,,,,,,,,,,,,,546.77,2291.98,11014.04,493.40,0.00,3341.35,7639.92,19562.25,1874.91,0.77,"32,418",,,,,,,
KE,1986,"42,101",27,0.00,0.07,0.07,0.15,0.07,,0.00,0.26,0.30,0.07,,,0.00,2219.25,9966.63,358.55,0.00,3565.30,11918.18,31676.13,3226.99,0.79,"50,387",1.20,,,,,,
KE,1987,"48,393",1100,0.00,0.02,0.13,0.39,0.11,,0.00,0.04,0.29,0.01,,,164.39,3355.10,15776.39,777.21,0.00,4109.72,14999.29,40516.63,2642.51,0.79,"62,268",1.29,,,,,,
KE,1988,"42,815",1033,0.00,0.06,0.13,0.41,0.07,,0.00,0.04,0.26,0.03,,,0.00,3406.27,13212.53,91.19,0.00,2565.67,13087.23,35906.99,1185.45,0.79,"52,745",1.23,,,,,,
KE,1989,"26,253",685,0.00,0.07,0.19,0.36,0.05,,0.01,0.08,0.21,0.02,,,0.00,3264.27,9757.19,79.91,0.00,2689.16,11036.35,25259.26,559.40,0.74,"39,544",1.51,,,,,,
KE,1990,"25,139",259,0.00,0.11,0.16,0.30,0.03,,0.00,0.07,0.31,0.02,,,155.44,2553.28,10788.46,539.82,0.00,3575.15,12948.79,24533.77,1403.54,0.77,"42,461",1.69,,,,,,
KE,1991,"27,133",458,0.00,0.10,0.26,0.23,0.04,,0.00,0.06,0.29,0.02,,,273.57,4794.87,7989.36,98.02,0.00,4103.49,16302.57,16194.64,98.02,0.61,"36,699",1.35,,,,,,
KE,1992,"37,469",518,0.00,0.05,0.23,0.42,0.03,,0.00,0.07,0.19,0.01,,,0.00,5182.29,5391.25,0.00,0.00,2557.27,17274.29,15389.57,0.00,0.51,"35,221",0.94,,,,,,
KE,1993,"33,432",664,0.00,0.05,0.16,0.42,0.05,,0.00,0.06,0.27,0.01,,,323.89,7057.64,8877.75,296.93,0.00,10472.54,23525.45,24096.75,296.93,0.54,"58,392",1.75,,,,,,
KE,1994,"26,145",342,0.00,0.06,0.15,0.43,0.04,,0.00,0.06,0.25,0.01,,,196.05,7820.88,8017.17,254.90,0.00,4116.95,17544.13,21379.13,1529.38,0.49,"44,570",1.70,,,,,,
KE,1995,"24,874",477,0.00,0.09,0.24,0.36,0.03,,0.01,0.06,0.22,0.00,,,211.38,3117.79,8284.15,0.00,0.00,4016.13,12322.69,17205.54,535.02,0.71,"34,079",1.37,,,,,,
KE,1996,"29,056",550,0.00,0.06,0.26,0.31,0.01,,0.00,0.11,0.25,0.00,,,593.86,5352.84,10232.33,0.00,0.00,7720.24,15548.71,21334.08,2060.12,0.63,"46,663",1.61,,,,,,
KE,1997,"25,221",420,0.00,0.22,0.27,0.18,0.02,,0.01,0.11,0.18,0.01,,,764.69,1872.58,20601.21,828.60,0.00,9940.98,11770.53,41202.42,3148.69,0.86,"66,063",2.62,,,,,,
KE,1998,"33,385",440,0.00,0.09,0.38,0.23,0.00,,0.00,0.16,0.13,0.00,,,1538.19,4120.24,20217.90,850.39,1529.38,21467.83,16480.97,48721.83,2551.18,0.76,"90,751",2.72,,,,,,
KE,1999,"29,100",216,0.00,0.08,0.21,0.33,0.00,,0.00,0.17,0.19,0.00,,,0.00,7291.70,13818.90,172.05,802.54,8240.48,26183.84,34653.55,172.05,0.65,"70,052",2.41,,,,,,
KE,2000,"25,502",281,0.00,0.17,0.22,0.32,0.00,,0.01,0.07,0.19,0.01,,,331.44,4251.97,7570.39,192.30,0.00,12263.32,16582.68,16861.31,576.90,0.61,"46,284",1.81,,,,,,
KE,2001,"29,531",359,0.03,0.20,0.22,0.19,0.03,,0.02,0.12,0.18,0.01,,,4039.37,7054.22,8268.84,0.00,994.32,28700.80,20130.34,16345.39,932.90,0.43,"67,104",2.27,,,,,,
KE,2002,"40,514",836,0.01,0.36,0.18,0.20,0.01,,0.03,0.03,0.18,0.00,,,2752.87,6538.16,8862.51,263.32,1700.79,19958.29,19614.47,21456.61,263.32,0.48,"62,993",1.55,,,,,,
KE,2003,"48,461",66,0.00,0.12,0.18,0.30,0.03,,0.00,0.06,0.30,0.00,,,576.90,3731.58,1974.93,163.69,0.00,7884.25,10728.31,5661.46,491.07,0.31,"24,765",0.51,,,,,,
KE,2004,"65,112",551,0.01,0.13,0.21,0.31,0.03,,0.00,0.08,0.22,0.01,,,233.22,4344.85,3355.65,0.00,0.00,8629.29,11717.92,8102.66,439.68,0.42,"28,890",0.44,,,,,,
KE,2005,"55,688",396,0.02,0.29,0.15,0.25,0.02,,0.05,0.05,0.16,0.01,,,394.99,2291.66,4396.83,0.00,932.90,8294.70,6056.53,13190.50,748.58,0.62,"29,223",0.52,,,,,,
KE,2006,"39,305",332,0.00,0.30,0.23,0.16,0.00,,0.05,0.12,0.13,0.00,,,0.00,3737.31,4491.48,59.68,2106.59,7202.36,9013.51,8982.97,179.03,0.54,"27,484",0.70,,,,,,
KE,2007,"29,664",231,0.00,0.16,0.29,0.18,0.01,,0.01,0.15,0.19,0.00,,,219.84,2620.03,358.06,,327.38,2857.94,5614.35,1074.17,,,,,,,,,,
KE,2008,"28,094",183,0.02,0.20,0.16,0.30,0.02,,0.01,0.09,0.21,0.00,,,374.29,1312.88,,,879.37,5614.35,4893.46,,,,,,,,,,,
KE,2009,"18,251",213,0.08,0.28,0.26,0.13,0.00,,0.01,0.15,0.07,0.01,,,238.71,,,,2245.74,6325.69,,,,,,,,,,,,
KE,2010,"13,037",271,0.01,0.32,0.17,0.21,0.01,,0.00,0.10,0.15,0.01,,,,,,,1909.64,,,,,,,,,,,,,
KE,2011,"15,731",120,0.03,0.10,0.20,0.33,0.02,,0.01,0.14,0.17,0.00,,,,,,,,,,,,,,,,,,,,
KE,2012,"22,453",62,0.10,0.23,0.13,0.19,0.03,,0.02,0.11,0.19,0.00,,,,,,,,,,,,,,,,,,,,
KE,2013,"12,305",241,0.13,0.42,0.25,0.05,0.01,,0.02,0.09,0.02,0.00,,,,,,,,,,,,,,,,,,,,
KE,2014,11980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KE,2015,16825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KE,2016,14676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KE,2017,20634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KE,2018,17285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KE,2019,11548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL,1983,,,,,,,,,,,,,,,,596.11,11755.16,220.84,,,3278.62,26513.47,1398.66,,,,,,,,,
KL,1984,,,,,,,,,,,,,,,0.00,1716.08,5889.11,935.28,,1291.58,4890.84,18256.23,2338.20,0.69,,,,,,,,
KL,1985,,,,,,,,,,,,,,,600.63,736.14,10677.77,569.01,0.00,5062.44,6772.47,24551.09,1517.36,0.85,,,,,,,,
KL,1986,"42,101",,,,,,,,,,,,,,662.52,935.28,14794.24,873.69,42.90,6551.63,7014.60,35847.58,3494.75,0.86,,,,,,,,
KL,1987,"48,393",,,,,,,,,,,,,,0.00,1422.52,15071.12,1245.96,0.00,3741.12,9388.65,39971.23,2907.24,0.85,,,,,,,,
KL,1988,"42,815",1417,0.00,0.02,0.04,0.42,0.16,0.00,0.00,0.01,0.32,0.04,0.00,,0.00,764.48,14536.21,389.53,0.00,4362.40,10156.62,39621.56,2466.99,0.93,"56,608",1.32,,,,,,
KL,1989,"26,253",970,0.00,0.11,0.08,0.35,0.07,0.00,0.01,0.04,0.28,0.05,0.00,,218.42,1162.90,7011.46,169.48,0.00,5897.39,6645.13,19476.27,395.46,0.82,"32,414",1.23,,,,,,
KL,1990,"25,139",448,0.00,0.18,0.18,0.38,0.04,0.00,0.02,0.02,0.18,0.01,0.00,,0.00,1558.10,7570.31,216.44,0.00,3987.08,10127.66,23840.83,865.78,0.81,"38,821",1.54,,,,,,
KL,1991,"27,133",483,0.00,0.10,0.16,0.37,0.04,0.00,0.00,0.02,0.28,0.02,0.00,,0.00,3785.16,13311.30,95.63,0.00,11426.08,15310.11,31276.15,1625.74,0.77,"59,638",2.20,,,,,,
KL,1992,"37,469",539,0.00,0.09,0.16,0.41,0.02,0.00,0.00,0.03,0.29,0.01,0.00,,0.00,2489.11,9754.46,614.91,0.00,4293.61,10930.42,26394.41,2152.18,0.76,"43,771",1.17,,,,,,
KL,1993,"33,432",545,0.00,0.10,0.16,0.42,0.04,0.00,0.00,0.01,0.25,0.01,0.00,,324.67,1625.74,8378.14,81.80,112.99,2272.66,6598.60,25903.05,899.82,0.80,"35,787",1.07,,,,,,
KL,1994,"26,145",640,0.00,0.08,0.10,0.47,0.03,0.00,0.00,0.02,0.27,0.02,0.00,,95.63,1229.82,8834.61,475.37,0.00,8511.24,10607.18,23722.57,1426.10,0.83,"44,267",1.69,,,,,,
KL,1995,"24,874",335,0.00,0.26,0.20,0.29,0.05,0.00,0.00,0.04,0.16,0.01,0.00,,230.59,2290.45,11527.63,382.68,0.00,6840.86,14724.35,28403.13,2143.03,0.80,"52,111",2.10,,,,,,
KL,1996,"29,056",778,0.00,0.10,0.26,0.37,0.01,0.00,0.00,0.09,0.17,0.00,0.00,,245.41,2376.83,12552.01,192.92,153.73,2372.26,8794.28,30231.96,347.25,0.82,"41,899",1.44,,,,,,
KL,1997,"25,221",419,0.00,0.04,0.19,0.40,0.01,0.00,0.01,0.05,0.29,0.00,0.00,,475.37,1454.20,10803.36,801.99,0.00,7130.49,11786.64,29709.24,4239.08,0.80,"52,865",2.10,,,,,,
KL,1998,"33,385",451,0.00,0.20,0.12,0.39,0.04,0.00,0.00,0.04,0.23,0.00,0.00,,1645.54,2276.42,24174.19,1220.13,0.00,10600.32,14160.12,61065.62,7015.75,0.82,"92,842",2.78,,,,,,
KL,1999,"29,100",594,0.00,0.14,0.21,0.38,0.03,0.00,0.01,0.03,0.18,0.01,0.00,,4244.18,2176.82,19064.54,1389.45,1148.05,22532.72,18903.99,37671.53,4940.28,0.71,"85,197",2.93,,,,,,
KL,2000,"25,502",510,0.00,0.05,0.30,0.36,0.02,0.00,0.01,0.05,0.21,0.00,0.00,,458.28,2745.29,9726.18,941.37,1234.67,7103.32,14031.50,20224.28,3765.49,0.70,"46,359",1.82,,,,,,
KL,2001,"29,531",385,0.00,0.15,0.14,0.37,0.02,0.00,0.01,0.05,0.25,0.01,0.00,,4880.52,2161.37,11649.48,307.60,0.00,24250.09,18371.67,25652.39,1999.42,0.61,"70,274",2.38,,,,,,
KL,2002,"40,514",1461,0.02,0.16,0.18,0.32,0.03,0.00,0.03,0.03,0.22,0.01,0.00,,1080.69,1647.40,9151.21,537.83,1220.13,13585.77,10472.77,21301.55,1459.82,0.74,"48,040",1.19,,,,,,
KL,2003,"48,461",1762,0.02,0.27,0.17,0.28,0.00,0.00,0.06,0.03,0.16,0.00,0.00,,529.52,1153.51,2612.32,46.11,0.00,3588.98,4844.76,8912.61,507.23,0.60,"17,854",0.37,,,,,,
KL,2004,"65,112",797,0.00,0.07,0.18,0.40,0.04,0.00,0.01,0.02,0.26,0.01,0.00,,76.90,2919.65,4657.34,299.78,941.37,14072.86,8451.62,8254.10,1349.03,0.59,"33,069",0.51,,,,,,
KL,2005,"55,688",1104,0.01,0.23,0.13,0.22,0.07,0.00,0.06,0.03,0.23,0.01,0.00,,307.33,830.02,4346.87,372.79,461.41,7529.62,4519.00,10942.12,1304.76,0.74,"24,757",0.44,,,,,,
KL,2006,"39,305",740,0.00,0.22,0.28,0.18,0.06,0.00,0.02,0.04,0.17,0.02,0.00,,138.34,3447.52,3168.69,92.19,1690.32,8161.87,10042.77,8201.32,215.12,0.46,"28,311",0.72,,,,,,
KL,2007,"29,664",755,0.02,0.07,0.20,0.32,0.06,0.00,0.01,0.04,0.26,0.02,0.00,,299.78,1025.16,2519.92,,737.80,3147.73,5498.61,3995.00,,,,,,,,,,
KL,2008,"28,094",555,0.01,0.33,0.09,0.28,0.04,0.00,0.00,0.03,0.21,0.01,0.00,,186.39,891.19,,,899.35,7642.14,4947.65,,,,,,,,,,,
KL,2009,"18,251",365,0.06,0.26,0.20,0.22,0.03,0.00,0.01,0.10,0.09,0.02,0.00,,61.46,,,,559.18,4117.92,,,,,,,,,,,,
KL,2010,"13,037",481,0.03,0.36,0.17,0.16,0.02,0.00,0.01,0.04,0.21,0.00,0.00,,,,,,1106.31,,,,,,,,,,,,,
KL,2011,"15,731",352,0.03,0.11,0.25,0.25,0.04,0.00,0.01,0.13,0.16,0.01,0.00,,,,,,,,,,,,,,,,,,,
KL,2012,"22,453",249,0.02,0.32,0.19,0.22,0.04,0.00,0.01,0.04,0.14,0.02,0.00,,,,,,,,,,,,,,,,,,,
KL,2013,"12,305",468,0.08,0.28,0.28,0.10,0.01,0.00,0.00,0.06,0.18,0.01,0.00,,,,,,,,,,,,,,,,,,,
KL,2014,11980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL,2015,16825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL,2016,14676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL,2017,20634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL,2018,17285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KL,2019,11548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
